robotID,a,b,c
0,25.316539022138468,130.979905072207,230.94345927996699
1,33.511897378011547,118.75674501102093,197.76594313175363
2,77.593292019368604,68.356946727519372,358.75822661070555
4,50.72685564120318,17.399464222729122,414.65091435916491
5,-9.9939051797488769,303.13894956141007,127.42874155800185
6,-543.74616962881817,1960.0875323083455,-719.86104079511756
7,-9.9939051797488769,303.13894956141007,127.42874155800185
8,50.72685564120318,17.399464222729122,414.65091435916491
9,-9.9939051797488769,303.13894956141007,127.42874155800185
10,-543.74616962881817,1960.0875323083455,-719.86104079511756
11,-9.9939051797488769,303.13894956141007,127.42874155800185
